"NAME","GEO_ID","P043001","P043002","P043003","P043004","P043005","P043006","P043007","P043008","P043009","P043010","P043011","P043012","P043013","P043014","P043015","P043016","P043017","P043018","P043019","P043020","P043021","P043022","P043023","P043024","P043025","P043026","P043027","P043028","P043029","P043030","P043031","P043032","P043033","P043034","P043035","P043036","P043037","P043038","P043039","P043040","P043041","P043042","P043043","P043044","P043045","P043046","P043047","P043048","P043049","P043050","P043051","P043052","P043053","P043054","P043055","P043056","P043057","P043058","P043059","P043060","P043061","P043062","P043063"
"Block Group 2, Census Tract 8004.11, Prince George's County, Maryland","1500000US240338004112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8004.13, Prince George's County, Maryland","1500000US240338004132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8004.12, Prince George's County, Maryland","1500000US240338004121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8004.12, Prince George's County, Maryland","1500000US240338004122","13","10","2","2","2","0","0","0","0","0","0","0","5","5","4","0","1","0","0","0","0","0","3","3","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0"
"Block Group 1, Census Tract 8004.13, Prince George's County, Maryland","1500000US240338004131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 8005.04, Prince George's County, Maryland","1500000US240338005041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 2, Census Tract 8005.04, Prince George's County, Maryland","1500000US240338005042","3","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 3, Census Tract 8005.04, Prince George's County, Maryland","1500000US240338005043","9","8","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Block Group 3, Census Tract 4023.03, Baltimore County, Maryland","1500000US240054023033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 4, Census Tract 4023.03, Baltimore County, Maryland","1500000US240054023034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 5, Census Tract 4023.03, Baltimore County, Maryland","1500000US240054023035","91","53","37","37","0","37","0","0","0","0","0","0","16","14","0","14","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","38","27","27","0","27","0","0","0","0","0","0","11","7","0","7","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 4023.04, Baltimore County, Maryland","1500000US240054023041","6","3","0","0","0","0","0","0","0","0","0","0","3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","2","0","0","2"
"Block Group 2, Census Tract 4023.04, Baltimore County, Maryland","1500000US240054023042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 3, Census Tract 4023.04, Baltimore County, Maryland","1500000US240054023043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Block Group 1, Census Tract 4023.05, Baltimore County, Maryland","1500000US240054023051","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
